curve,elapsed_sec,mean,ci_lo,ci_hi,n_runs
original r6 (n=3),276.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),277.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),278.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),279.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),280.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),281.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),282.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),283.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),284.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),285.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),286.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),287.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),288.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),289.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),290.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),291.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),292.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),293.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),294.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),295.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),296.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),297.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),298.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),299.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),300.0,11.333333333333334,5.081723854035031,17.58494281263164,3
ours r6 (n=3),0.0,0.0,0.0,0.0,3
ours r6 (n=3),1.0,0.0,0.0,0.0,3
ours r6 (n=3),2.0,0.0,0.0,0.0,3
ours r6 (n=3),3.0,0.0,0.0,0.0,3
ours r6 (n=3),4.0,0.0,0.0,0.0,3
ours r6 (n=3),5.0,0.0,0.0,0.0,3
ours r6 (n=3),6.0,0.0,0.0,0.0,3
ours r6 (n=3),7.0,0.0,0.0,0.0,3
ours r6 (n=3),8.0,0.0,0.0,0.0,3
ours r6 (n=3),9.0,0.0,0.0,0.0,3
ours r6 (n=3),10.0,0.0,0.0,0.0,3
ours r6 (n=3),11.0,0.0,0.0,0.0,3
ours r6 (n=3),12.0,0.0,0.0,0.0,3
ours r6 (n=3),13.0,0.0,0.0,0.0,3
ours r6 (n=3),14.0,0.0,0.0,0.0,3
ours r6 (n=3),15.0,0.0,0.0,0.0,3
ours r6 (n=3),16.0,0.0,0.0,0.0,3
ours r6 (n=3),17.0,0.0,0.0,0.0,3
ours r6 (n=3),18.0,0.0,0.0,0.0,3
ours r6 (n=3),19.0,0.0,0.0,0.0,3
ours r6 (n=3),20.0,0.0,0.0,0.0,3
ours r6 (n=3),21.0,0.0,0.0,0.0,3
ours r6 (n=3),22.0,0.0,0.0,0.0,3
ours r6 (n=3),23.0,0.0,0.0,0.0,3
ours r6 (n=3),24.0,0.0,0.0,0.0,3
ours r6 (n=3),25.0,0.0,0.0,0.0,3
ours r6 (n=3),26.0,0.0,0.0,0.0,3
ours r6 (n=3),27.0,0.0,0.0,0.0,3
ours r6 (n=3),28.0,0.0,0.0,0.0,3
ours r6 (n=3),29.0,0.0,0.0,0.0,3
ours r6 (n=3),30.0,0.0,0.0,0.0,3
ours r6 (n=3),31.0,0.0,0.0,0.0,3
ours r6 (n=3),32.0,0.0,0.0,0.0,3
ours r6 (n=3),33.0,0.0,0.0,0.0,3
ours r6 (n=3),34.0,0.0,0.0,0.0,3
ours r6 (n=3),35.0,0.0,0.0,0.0,3
ours r6 (n=3),36.0,0.0,0.0,0.0,3
ours r6 (n=3),37.0,0.0,0.0,0.0,3
ours r6 (n=3),38.0,0.3333333333333333,-1.1008842432320476,1.767550909898714,3
ours r6 (n=3),39.0,0.6875,-0.7935727155796637,2.1685727155796637,3
ours r6 (n=3),40.0,1.1527777777777777,0.7344643179462085,1.5710912376093469,3
ours r6 (n=3),41.0,1.3217592592592593,0.5737093091414979,2.069809209377021,3
ours r6 (n=3),42.0,1.4907407407407407,0.39461474014661246,2.5868667413348687,3
ours r6 (n=3),43.0,1.8819444444444444,-0.5234971359303653,4.287386024819254,3
ours r6 (n=3),44.0,1.9654558404558404,-0.427228150291429,4.358139831203109,3
ours r6 (n=3),45.0,2.0489672364672367,-0.33250647437612324,4.430440947310597,3
ours r6 (n=3),46.0,2.1324786324786325,-0.23935404799766014,4.5043113129549255,3
ours r6 (n=3),47.0,2.2159900284900282,-0.14779007249022413,4.579770129470281,3
ours r6 (n=3),48.0,2.2995014245014245,-0.05783082621815128,4.656833675221,3
ours r6 (n=3),49.0,2.3830128205128207,0.030510495826917783,4.735515145198724,3
ours r6 (n=3),50.0,2.5128205128205128,0.22059984032977242,4.805041185311254,3
ours r6 (n=3),51.0,2.642628205128205,0.3823968542587983,4.902859555997612,3
ours r6 (n=3),52.0,2.772435897435898,0.5146986160345177,5.030173178837278,3
ours r6 (n=3),53.0,2.90224358974359,0.6174085347507443,5.187078644736435,3
ours r6 (n=3),54.0,3.0320512820512824,0.6915542088772231,5.372548355225342,3
ours r6 (n=3),55.0,3.1595441595441596,0.7270650847491371,5.592023234339182,3
ours r6 (n=3),56.0,3.2870370370370368,0.7382508073569132,5.83582326671716,3
ours r6 (n=3),57.0,3.5555555555555554,0.5037448485988589,6.607366262512252,3
ours r6 (n=3),58.0,4.0740740740740735,0.09013636139246062,8.058011786755687,3
ours r6 (n=3),59.0,4.251322751322751,-0.0010030519323782627,8.503648554577879,3
ours r6 (n=3),60.0,4.428571428571429,-0.1037364213067331,8.96087927844959,3
ours r6 (n=3),61.0,4.605820105820106,-0.21604455690533175,9.427684768545543,3
ours r6 (n=3),62.0,4.695767195767195,-0.18721643716837555,9.578750828702766,3
ours r6 (n=3),63.0,4.785714285714286,-0.1603316059817903,9.731760177410361,3
ours r6 (n=3),64.0,4.875661375661376,-0.13531669607084584,9.886639447393598,3
ours r6 (n=3),65.0,4.965608465608465,-0.1120999720008955,10.043316903217825,3
ours r6 (n=3),66.0,5.028769841269841,-0.06604590711121094,10.123585589650894,3
ours r6 (n=3),67.0,5.091931216931218,-0.020011024894672325,10.203873458757108,3
ours r6 (n=3),68.0,5.155092592592593,0.026004866806816906,10.284180318378368,3
ours r6 (n=3),69.0,5.218253968253968,0.07200195780221286,10.364505978705724,3
